brain_region,gene_id,effect_size,p-value,power,t_stat
4012,2541,0.16056842924534936,0.508,0.9763486314800927,4.053816232500779
4013,1259,0.12934939279045726,0.512,0.8993948867103249,3.4455282028029175
4013,2541,0.2848808528412593,0.499,0.9999999999426242,7.3491733356269
4014,1259,0.12246464240940574,0.511,0.8691822232726129,3.2250946778005383
4014,2541,0.25652471024631657,0.515,0.99999999677192,6.31735629180148
4023,1259,0.23302422530746783,0.507,0.9998531825739253,6.0404812278777325
4023,2538,0.011143931126122724,0.486,0.08180553186147765,0.2655966157086464
4023,2539,-0.04893134490350697,0.477,0.002974494867737598,-1.169416088161841
4023,2541,0.25354402839147416,0.503,0.9999999951829082,6.138973956068917
4023,2881,0.007922379857736176,0.506,0.07134760369379145,0.1874631845994589
4023,3335,0.17508519336673348,0.497,0.9896006737400949,4.432969417533126
4023,3336,0.4590617183130113,0.483,1.0,13.032282793582441
4023,3338,-0.2272467265332025,0.494,0.0,-7.1643015899106945
4023,4103,-0.0075009635687253015,0.51,0.034811424796294066,-0.17224040602672738
4023,4855,0.22924883845802244,0.511,0.9997965291595701,6.23217313666147
4023,36362,-0.2083032604709716,0.509,0.0,-7.330731367509052
4024,1259,0.18762908699021769,0.496,0.9952715346143328,4.996306476647936
4024,2538,0.012589982780803316,0.493,0.08685932089727189,0.30440705924999567
4024,2539,-0.0895317965786795,0.476,0.00012220350419489545,-2.0693516824341693
4024,2541,0.22396282449636945,0.502,0.9996823803687571,5.5536334718350915
4024,2881,-0.08332246190628984,0.486,0.00020956612986577916,-1.9075096026954346
4024,3335,0.16881895136963723,0.487,0.9849973095193252,4.144590482258593
4024,3338,-0.3214723845473998,0.494,1.744160371686121e-13,-10.502796650028417
4024,4103,-0.04018789709486238,0.51,0.005339980931777455,-0.9051869429084987
4024,4855,0.2067127975404493,0.506,0.9987622353117244,5.462363085267655
4024,36362,-0.10751005403665452,0.521,2.3074891377206086e-05,-3.5985520415488588
4030,1259,0.11433378771009499,0.504,0.826082670374977,3.042569803719032
4030,2538,0.008373727849325628,0.497,0.07274767721099884,0.19867184644041416
4030,2541,0.24584843231928893,0.506,0.999999986734743,6.2262975106998955
4030,3338,-0.31000450694992593,0.485,1.1530776333756876e-12,-9.621177252881353
4030,36362,-0.09993779660237344,0.496,4.7463909509048996e-05,-3.44368224880602
4031,1259,0.20677242594948417,0.492,0.9987677402444526,5.721237799524335
