brain_region,gene_id,effect_size,p-value,power,t_stat
4012,2541,0.1914717792663135,0.54,0.18057126532602452,0.6806069812153257
4013,1259,-0.26122576546548504,0.49,0.004089629014504048,-1.3087659651409143
4013,2541,0.2257257026818455,0.541,0.21699089430337215,0.8203577556113247
4014,1259,-0.41912432821129403,0.487,0.0005776156384189601,-2.327927605284359
4014,2541,0.043136753513357017,0.529,0.06944531692359612,0.14740427154391503
4023,1259,-0.18197679859887173,0.484,0.009613386972261995,-0.9028501602941718
4023,2538,0.056813025917929555,0.505,0.07669513005640827,0.2696439400527762
4023,2539,-0.03463032250596339,0.503,0.03776064364428722,-0.12986313881843697
4023,2541,0.19005334046626693,0.545,0.17915059993741822,0.6895509843623159
4023,2881,-0.34148388511874633,0.494,0.0015782007472895376,-1.0966522399302554
4023,3335,0.09249186297509501,0.502,0.09829969614999057,0.5224827979681461
4023,3336,0.21364101919288747,0.543,0.20368337490394317,0.9823811420592671
4023,3338,-0.5133540723246706,0.461,0.000152429287603284,-3.904830765220728
4023,4103,-0.3719197285182554,0.474,0.0010748323842306728,-1.7789847007356447
4023,4855,0.014104798545212651,0.534,0.055813401415807595,0.07280410782110831
4023,36362,-0.11246364259337134,0.514,0.018991210217407795,-0.9441691767197516
4024,1259,-0.1770239055186178,0.497,0.010112604525980506,-1.0158665472996362
4024,2538,0.07007360547139903,0.495,0.08425997226653303,0.3416993863916005
4024,2539,-0.027245658722748787,0.499,0.04014181520036886,-0.1069848512695355
4024,2541,0.3507989296194879,0.554,0.3801540554878634,1.4809495146261151
4024,2881,-0.28271863942035935,0.483,0.0031965131566209504,-1.091539497030691
4024,3335,0.2063676680711744,0.504,0.1959135739032063,1.335803993655778
4024,3338,-0.4814696153025941,0.476,0.00024258350861239286,-3.464642444016036
4024,4103,-0.39216887299978415,0.471,0.0008265809834219207,-1.9053651081839844
4024,4855,0.09704226610977487,0.543,0.10134722889422632,0.5008439098608833
4024,36362,0.06388389545869064,0.538,0.08066204905824459,0.5209455733608972
4030,1259,-0.18270900330220818,0.498,0.009541442357900554,-1.0068099483261277
4030,2538,0.0187756325731852,0.484,0.05785182734472116,0.08710629464142931
4030,2541,0.22843877311217733,0.554,0.22004597473405063,0.8614612891976992
