brain_region,gene_id,effect_size_8,p-value_8,power_8,t_stat_8,effect_size_16,p-value_16,power_16,t_stat_16,effect_size_32,p-value_32,power_32,t_stat_32,effect_size_64,p-value_64,power_64,t_stat_64,effect_size_128,p-value_128,power_128,t_stat_128,effect_size_256,p-value_256,power_256,t_stat_256,effect_size_512,p-value_512,power_512,t_stat_512,effect_size_1024,p-value_1024,power_1024,t_stat_1024
4023,3335,0.6111937733022379,0.657,0.46614997723298945,5.000218647916226,0.09249186297509501,0.502,0.09829969614999057,0.5224827979681461,0.19855385965761657,0.497,0.29248056487634033,1.2447088775962176,0.23398032520201623,0.517,0.5819293434855517,2.098259996902497,0.23894195767093326,0.501,0.8517620694351783,3.005518318699584,0.23082634486800038,0.493,0.9792522531733588,4.146629958454434,0.17508519336673348,0.497,0.9896006737400949,4.432969417533126,0.2795963209101086,0.496,1.0,9.624855704141197
4023,3336,0.28858581775345693,0.573,0.18254768731665005,0.9458762813382903,0.21364101919288747,0.543,0.20368337490394317,0.9823811420592671,0.42668043542040457,0.565,0.7628797020692445,2.759461729039885,0.44064054604608344,0.536,0.9672652818479449,4.112330779495419,0.5064199466911121,0.502,0.9999999949632791,6.57797217813257,0.4885072650658562,0.504,0.9999999999999972,9.483765165978829,0.4590617183130113,0.483,1.0,13.032282793582441,0.515667603751037,0.508,1.0,21.36514557752858
4023,3338,-0.8355123418181988,0.41,6.924759098836386e-05,-8.74953789090583,-0.5133540723246706,0.461,0.000152429287603284,-3.904830765220728,-0.23679425810533317,0.486,0.0015593614321101068,-1.870997777170992,-0.3383856569528109,0.474,7.682733726532831e-06,-4.22676393848411,-0.24008252176221137,0.472,6.908267745187047e-06,-4.016960359688742,-0.21933097941567542,0.51,1.3324741643394589e-07,-5.107927389105382,-0.2272467265332025,0.494,0.0,-7.1643015899106945,-0.23958535346911636,0.513,8.770761894538737e-15,-10.412277568069635
4023,4103,0.17223194025946742,0.523,0.11445890484032939,0.7937152212483455,-0.3719197285182554,0.474,0.0010748323842306728,-1.7789847007356447,-0.04190779265133849,0.513,0.030271893930353566,-0.22475396270053757,-0.0440104897902029,0.529,0.023120737125896684,-0.34622374902324726,0.012495959972672001,0.525,0.06626117080851168,0.13961979266323926,0.02292053218215566,0.509,0.10043144335916443,0.3659002064853945,-0.0075009635687253015,0.51,0.034811424796294066,-0.17224040602672738,0.01731518070074076,0.5,0.1376069320525506,0.5790146927532679
4023,4855,-0.22461968961084006,0.55,0.013094148684267504,-0.7590525024027875,0.014104798545212651,0.534,0.055813401415807595,0.07280410782110831,0.2080445865343103,0.52,0.3107776036333372,1.4550303989005948,0.21963963992759275,0.543,0.5371876462570873,2.21333338538673,0.29376477118758393,0.509,0.9516364289757784,4.027352190326316,0.3404793131268182,0.487,0.9999241448398531,6.897694267869999,0.22924883845802244,0.511,0.9997965291595701,6.23217313666147,0.24196285364550815,0.498,0.9999999999999951,9.310141450603442
4023,36362,0.0076173874996906055,0.503,0.05205113994183841,0.04264944830268312,-0.11246364259337134,0.514,0.018991210217407795,-0.9441691767197516,-0.1276941133445054,0.507,0.009343789945220893,-1.2080800338285995,-0.10626657751922503,0.488,0.0064605071398041725,-1.4290148294858922,-0.15224475644221128,0.504,0.0003922734367954872,-2.744611763867664,-0.16313207890014542,0.509,1.078071305538053e-05,-4.01760667655202,-0.2083032604709716,0.509,0.0,-7.330731367509052,-0.1756351119650587,0.501,9.530006561675464e-09,-9.061981519679215
4024,1259,0.2763137270282432,0.554,0.17437012393870432,2.1872533595408115,-0.1770239055186178,0.497,0.010112604525980506,-1.0158665472996362,-0.28654351902698616,0.469,0.0006161549224427132,-2.298991202724141,0.05292802289742693,0.501,0.11010673587982367,0.488214318429001,0.018365901280314834,0.493,0.07519269238467041,0.2672939337332686,0.16804556091689848,0.516,0.8500695449749877,3.231699408980445,0.18762908699021769,0.496,0.9952715346143328,4.996306476647936,0.1735046327320699,0.483,0.9999999858909937,6.336759544002512
4024,2538,-0.3153023637593205,0.469,0.006990044344249768,-1.7952777279974388,0.07007360547139903,0.495,0.08425997226653303,0.3416993863916005,0.07006040712507393,0.51,0.10435540404729093,0.43871234321372715,0.03671953772351107,0.496,0.08783004407567807,0.31956941848402626,0.02749994485193569,0.513,0.09087579707452698,0.33271212108632886,-0.007227123900530705,0.472,0.03918853508940312,-0.12412880573299351,0.012589982780803316,0.493,0.08685932089727189,0.30440705924999567,0.016720184512914328,0.493,0.13346473588800845,0.5626024924780367
4024,2539,0.34393551037018916,0.512,0.22229420781342524,1.0373823336172012,-0.027245658722748787,0.499,0.04014181520036886,-0.1069848512695355,-0.012890551308147223,0.501,0.043062690649868784,-0.07700746368087602,-0.057591907170969736,0.49,0.017834652295727005,-0.45617710684238305,-0.14511330313870477,0.524,0.0005228526704844638,-1.5945031418497706,-0.10447611812880848,0.497,0.0004630731863051185,-1.6356446085274512,-0.0895317965786795,0.476,0.00012220350419489545,-2.0693516824341693,-0.049470674644365255,0.477,0.0006257627477184169,-1.5914537358265262
4024,2541,0.7568877863278342,0.545,0.611720418688014,3.1569729965424407,0.3507989296194879,0.554,0.3801540554878634,1.4809495146261151,0.13110506806482394,0.497,0.178962126888369,0.7659719759394407,0.1089097807087654,0.499,0.21683780538000508,1.028873331777799,0.2893994476527251,0.514,0.9464983551948325,3.745742413915774,0.2347486849531099,0.491,0.9821854246936647,4.216549847859687,0.22396282449636945,0.502,0.9996823803687571,5.5536334718350915,0.2429565703150189,0.49,0.9999999999999962,8.672053440300038
