brain_region,gene_id,effect_size,p-value,power,t_stat
4012,2541,0.2485092315651465,0.503,0.9999999999999991,9.128628395957993
4013,1259,0.07346619626759571,0.496,0.7594423128491555,2.8231515736735235
4013,2541,0.2265791838655801,0.503,0.9999999999997924,8.476261165514336
4014,1259,0.008523623252289824,0.51,0.08498845875035355,0.32808241918631365
4014,2541,0.17466658798308612,0.503,0.9999999886026835,6.295485759648239
4023,1259,0.1989482922606464,0.482,0.9999999999032073,7.315701302864601
4023,2538,0.008503702812004915,0.496,0.08488938427186554,0.2847241929504973
4023,2539,-0.00931405323860823,0.474,0.026025824720530277,-0.30147922500342084
4023,2541,0.2655605182925126,0.5,1.0,9.355506284378388
4023,2881,0.02193089024118588,0.509,0.17270517097381433,0.772913307484355
4023,3335,0.2795963209101086,0.496,1.0,9.624855704141197
4023,3336,0.515667603751037,0.508,1.0,21.36514557752858
4023,3338,-0.23958535346911636,0.513,8.770761894538737e-15,-10.412277568069635
4023,4103,0.01731518070074076,0.5,0.1376069320525506,0.5790146927532679
4023,4855,0.24196285364550815,0.498,0.9999999999999951,9.310141450603442
4023,36362,-0.1756351119650587,0.501,9.530006561675464e-09,-9.061981519679215
4024,1259,0.1735046327320699,0.483,0.9999999858909937,6.336759544002512
4024,2538,0.016720184512914328,0.493,0.13346473588800845,0.5626024924780367
4024,2539,-0.049470674644365255,0.477,0.0006257627477184169,-1.5914537358265262
4024,2541,0.2429565703150189,0.49,0.9999999999999962,8.672053440300038
4024,2881,-0.04254324831107663,0.534,0.0013264289626221393,-1.476574128854962
4024,3335,0.23639895713335243,0.498,0.9999999999999806,8.14478064073945
4024,3338,-0.34730802000921085,0.512,0.0,-15.51119475458382
4024,4103,-0.025738920849866297,0.502,0.006794373719606561,-0.859029035219187
4024,4855,0.20951218399328247,0.482,0.9999999999898875,7.9406996636554865
4024,36362,-0.10898238642028103,0.515,1.4441744455861993e-07,-5.382305566428385
4030,1259,0.03656703211527807,0.49,0.3172216303605222,1.3764375398359212
4030,2538,-0.0012896593872524943,0.504,0.04588870814306556,-0.043164585483812974
4030,2541,0.1708013145282164,0.49,0.9999324878583281,6.073162605993158
4030,3338,-0.3196062175391069,0.509,0.0,-13.786220718244575
4030,36362,-0.05912197535275165,0.498,0.00020349645887152157,-2.951052353180525
4031,1259,0.07671568335909129,0.492,0.7905768831473498,2.9357821002208766
4031,2538,0.013567716515087707,0.489,0.11295274115278986,0.4552301723574486
4031,2541,0.2335342419783396,0.497,0.9999999999999608,8.585211626984885
4031,3338,-0.29752884088817616,0.511,0.0,-12.931465134554136
4039,1259,0.035169179330451814,0.497,0.3014676725920623,1.3247242673095516
4039,2541,0.18169529318439948,0.489,0.999999996954672,6.808990894149236
4045,1259,0.14954014565004603,0.48,0.9991473241503784,5.557954479884756
4045,2541,0.15683948008890725,0.486,0.9996250816036222,5.598099883398377
4048,1259,0.21888590846140404,0.492,0.9999999999987593,7.945069773280295
4048,2541,0.17664984390909874,0.498,0.9999999921070232,6.253730907254671
4051,1259,0.1381507782076099,0.467,0.9972232731216759,5.14827825301742
4051,2538,-0.0043880691896794255,0.5,0.03711614099855043,-0.14183989561441393
4051,2541,0.12651651318610507,0.489,0.9918247303038236,4.631207180423683
4060,1259,0.271243660258019,0.496,1.0,10.30972025975864
4060,2541,0.3121882057140734,0.48,1.0,11.791663600057475
4074,1259,0.18450828498736932,0.498,0.9999999982288893,7.060458961573363
4074,2541,0.21811710858917938,0.501,0.9999999999985214,8.2389189470749
4079,1259,0.18107337835299195,0.488,0.9999999965706468,6.9474423062960105
4079,2541,0.21342374742378387,0.503,0.9999999999957412,7.8858219490189585
4087,1259,-0.06825777268455335,0.481,6.468353743549482e-05,-2.593391765692888
4087,2541,0.1666521235822568,0.494,0.9998854040766242,6.031879028688642
4088,1259,-0.07926650581524304,0.492,1.459377315871091e-05,-3.0206974783169165
4088,2538,0.03721147478700414,0.505,0.3246000330559865,1.1847192494889853
4088,2541,0.22883648436874318,0.503,0.9999999999998785,8.428320095393527
4098,1259,0.06256134215103232,0.492,0.6389993415861905,2.3553220638174577
4098,2541,0.2860184834179447,0.484,1.0,10.547425916746644
4099,1259,0.07244404066984331,0.493,0.7491516270807455,2.7769557820721094
4099,2538,0.04101228929764656,0.499,0.36944330068070874,1.3287723403837934
4099,2541,0.28966670236033215,0.478,1.0,10.388204943445537
4106,1259,0.15324186190539069,0.489,0.9994343011958701,5.937821970231469
4106,2541,0.30429298867722004,0.493,1.0,11.418537145818066
4107,1259,0.1164077701737696,0.507,0.9811328829178947,4.440062739998014
4107,2541,0.28414486078213763,0.501,1.0,10.50446515020961
4113,1259,0.06964589797261277,0.48,0.719831530815994,2.7087564977932908
4113,2541,0.30678945610644215,0.502,1.0,11.035099866783222
4114,1259,0.08856882283550407,0.484,0.8824796276086451,3.347618833318713
4114,2541,0.2735883426236542,0.498,1.0,9.648410861958197
4120,1259,0.12913066179828395,0.478,0.9935150166334766,4.8310819676010155
4120,2541,0.29890308549535516,0.48,1.0,11.25520626791643
4121,1259,0.0591482673042711,0.509,0.5974062758676524,2.2572074485288462
4121,2538,0.02183262713322794,0.49,0.17190311590206786,0.7098253586696821
4121,2541,0.24496081553252239,0.502,0.9999999999999978,8.844195942805941
4135,1259,0.050380524305370857,0.495,0.4865410759315705,1.9289349573671457
4135,2538,0.03069625454572086,0.493,0.2535938984401368,0.9804165698145048
4135,2541,0.25318738121893186,0.497,0.9999999999999998,9.457964987723638
4135,3338,0.0627967329451858,0.501,0.6418144121548832,2.5304551924614183
4136,1259,0.20288111671637113,0.511,0.9999999999577028,7.467765854716446
4136,2538,0.02216586157555104,0.505,0.17463273711764082,0.7318246743164255
4136,2541,0.28072434138614044,0.495,1.0,10.181043542116415
4136,3338,-0.04003490003243508,0.502,0.0017215953049465327,-1.6964833540454773
4142,1259,0.22252503660269846,0.494,0.9999999999994635,8.462257787337126
4142,2538,0.03675429502763728,0.493,0.31935834708527877,1.2390375059594236
4142,2541,0.28507339501367407,0.508,1.0,10.261691441358327
4142,2881,0.017377309851008518,0.533,0.13804446319846797,0.5918183439377083
4142,3335,0.2893449303854815,0.496,1.0,9.833751670564364
4142,3338,-0.06714115638124146,0.497,7.473395159662832e-05,-2.818312554992666
4142,4103,-0.02594583044979783,0.506,0.0066698050663811514,-0.8508922961200237
4142,36362,0.1224919935037862,0.492,0.9884656889852727,5.7342605531870765
4143,1259,0.15539520652951383,0.498,0.9995571074875298,5.7390173521746854
4143,2538,0.03136460090289199,0.479,0.2604852983279635,1.0575500532528963
4143,2539,-0.013929430016780795,0.476,0.01829539380860279,-0.4512803051652939
4143,2541,0.2753043599885737,0.507,1.0,9.94524396052657
4143,2881,0.06051494166305982,0.526,0.6142234114656157,2.156554057793116
4143,3335,0.3092115621478225,0.491,1.0,10.690535173957452
4143,3336,0.5307435150204963,0.499,1.0,22.55585913535923
