brain_region,gene_id,effect_size_8,p-value_8,power_8,t_stat_8,effect_size_16,p-value_16,power_16,t_stat_16,effect_size_32,p-value_32,power_32,t_stat_32,effect_size_64,p-value_64,power_64,t_stat_64,effect_size_128,p-value_128,power_128,t_stat_128,effect_size_256,p-value_256,power_256,t_stat_256,effect_size_512,p-value_512,power_512,t_stat_512,effect_size_1024,p-value_1024,power_1024,t_stat_1024
4012,2541,0.7239579339182696,0.0390625,0.5794793174792661,31.0,0.17015174530383143,0.23187255859375,0.15996224729329778,83.0,0.024311856800451934,0.4160198401659727,0.0654837356052651,276.0,-0.02271288121482273,0.4178826231283729,0.03402940017151457,1071.0,0.19713592681483813,0.006517907726664153,0.7168735937426136,5172.0,0.2458360842519942,1.2986713210166231e-05,0.9886384666221188,21436.0,0.17915505923033767,8.732316548562559e-07,0.9918824688198624,81676.0,0.28526963737368727,1.1004082348431469e-22,1.0,354526.0
4013,1259,0.5761607845957685,0.125,0.43101253532295114,27.0,-0.32719149128522856,0.798126220703125,0.0018818945869059078,52.0,-0.40565419381321294,0.9563960714731365,4.990730883569494e-05,173.0,0.04670951837843491,0.24128096605385096,0.10112356915486709,1145.0,0.020905214657665355,0.1338837901014529,0.07932961185119924,4594.0,0.2531450279777661,1.7959170050491105e-06,0.9916827769975259,21943.0,0.15227227231071505,4.490160771670418e-06,0.9637613358997463,80536.0,0.08822348667729761,1.2166604929258368e-05,0.8802885482739057,302356.0
4013,2541,0.7165660915012423,0.0546875,0.5721566038507624,30.0,0.20508943890283118,0.247711181640625,0.1945668784007727,82.0,0.10945415572670819,0.2803786783479154,0.14937266791553927,296.0,0.08581316183720115,0.156292394985595,0.16709633438905347,1191.0,0.28546140917533724,0.00038260448894112217,0.9415006286184552,5543.0,0.3361206910932194,5.4058311552307817e-08,0.999899873492257,22748.0,0.3247906438585712,3.4595483882735755e-14,0.9999999999999003,90748.0,0.264883161422323,9.052326668351031e-20,1.0,347825.0
4014,1259,-0.09249077868377711,0.578125,0.029867707884854267,17.0,-0.5819819013210897,0.963043212890625,5.342069600122734e-05,34.0,-0.5081511072459145,0.9902759522665292,4.118049857115835e-06,141.0,-0.15976217814882504,0.8679635838870801,0.0018107631849718642,873.0,-0.1151892557874781,0.7709514266220681,0.0016348893525296448,3816.0,0.1714414453021657,0.0006325611451216812,0.8623461865793386,20271.0,0.14253039479008778,1.6099595482131205e-05,0.9424833354500931,79588.0,0.010252575599572301,0.031072393688291133,0.09392130984495506,280057.0
4014,2541,0.5130841216754858,0.125,0.3692142671643548,27.0,0.03685106788597876,0.4499664306640625,0.06629543739965338,71.0,0.030459284866515092,0.40883714938536286,0.0699349822526445,277.0,-0.06956202479657553,0.7173972996601112,0.014066747041116545,954.0,0.1167290617365985,0.1107839709777898,0.37022742963322663,4642.0,0.25938507408489136,9.435454719571913e-06,0.9936890576417834,21521.0,0.2791903420690205,1.259954422296142e-11,0.9999999998669622,88011.0,0.19673392998900746,1.4662949303117698e-12,0.9999999998467807,328483.0
4023,1259,0.7045303271773352,0.07421875,0.5601786100523982,29.0,-0.22571254007354294,0.752288818359375,0.006061121467278108,55.0,-0.2798376245620079,0.8690773982089013,0.0007012016009744215,204.0,0.10248294568345771,0.13637517776838165,0.20220280596190499,1204.0,-0.004418312612292088,0.26975218058547623,0.04507798012249431,4386.0,0.28110527490230164,7.298000964662202e-07,0.997750374350236,22160.0,0.2669540773663992,1.684029835175009e-11,0.9999999992317237,87868.0,0.22861566571451877,1.545647044518327e-17,0.999999999999872,342324.0
4023,2538,-0.7419490661881735,0.90234375,0.00018094198649420967,9.0,0.06741098501319405,0.5500335693359375,0.08269778327511057,66.0,0.12854207075988464,0.5036778950598091,0.17527860802599327,264.0,0.05624309722168802,0.6534172057305674,0.11512318735161986,981.0,0.06966207447945996,0.6604890035888689,0.19464342487013442,3954.0,0.02502628549262204,0.8318028432191771,0.10647505185008821,15308.0,0.011737823001736336,0.943767939790785,0.08385362449921652,60348.0,0.00889763102970304,0.9890178730415937,0.08686471361936898,240713.0
4023,2539,0.23407915951654404,0.37109375,0.14802373140230252,21.0,-0.032465784704609243,0.5698699951171875,0.0384463523585582,65.0,-0.027131674413608687,0.6265872237272561,0.03632489406155859,247.0,-0.03587978752318348,0.6384945757182043,0.026876004792685926,987.0,-0.10341342997444035,0.8945157639200344,0.0024875386274162414,3602.0,-0.06768295826343726,0.8829447449327428,0.0032158983209120695,15037.0,-0.0516813778729927,0.8195449675816259,0.002456191687859599,62604.0,-0.009421225781356901,0.37990961651185984,0.025819346854486613,265294.0
4023,2541,0.7191714911441391,0.0546875,0.5747407456921187,30.0,0.17238774609057897,0.247711181640625,0.16204863426095906,82.0,0.0921839585769371,0.32557414984330535,0.1282521250304982,289.0,0.011442281402206248,0.3367633436962675,0.06005720529702485,1103.0,0.22451691508544822,0.0026388899261901165,0.8110295790070693,5301.0,0.24094471861111094,2.1430756054220864e-05,0.9860967654365248,21300.0,0.2713068821164961,9.977433594111843e-11,0.9999999995847191,86971.0,0.2923595713868246,2.2918325365122905e-22,1.0,353817.0
4023,2881,-0.44634106466994655,0.875,0.002577079438337737,10.0,-0.27416305998256385,0.8387451171875,0.0035285667494944217,49.0,-0.0831061627898318,0.6195748681202531,0.017651499021445693,248.0,-0.05615194466070515,0.5977152395885144,0.018341256132266892,1003.0,-0.027772279809598413,0.4442071795976256,0.025150641464300683,4187.0,0.04057730156335161,0.12555158666209654,0.15930024459579828,17809.0,0.008284780565818934,0.24275569320435453,0.07247011270900128,68000.0,0.024153540858886095,0.10026848940627714,0.19148111177747618,274517.0
4023,3335,1.7678442566784967,0.00390625,0.9975360460995595,36.0,0.13062069949203653,0.3717803955078125,0.12597702323784077,75.0,0.22003552198784546,0.17014949931763113,0.334575990305539,316.0,0.26228249961281214,0.04103926590333735,0.6666890287857882,1300.0,0.26565279801660835,0.0051789630272199485,0.9106218081900401,5206.0,0.2591643724034021,0.0002345267315033031,0.9936261606607341,20596.0,0.19591142099564082,7.422019021846178e-05,0.9973007133996162,78370.0,0.3007767407544124,4.6929285988416235e-18,1.0,343632.0
4023,3336,0.3344177663489098,0.15625,0.21513163252492307,26.0,0.24559528551481677,0.1261138916015625,0.23992600371571082,91.0,0.48780852525721446,0.0022061681374907494,0.8539630801305111,413.0,0.5140413474369274,4.448110877400055e-05,0.9922985366793347,1626.0,0.581416091701748,9.164395998051517e-10,0.9999999999761546,6656.0,0.5927353228736768,5.785087709565433e-19,1.0,26906.0,0.5759509711051817,3.093329167965331e-35,1.0,106963.0,0.6676607992977681,8.371239789586271e-80,1.0,441120.0
4023,3338,-3.0934287874540773,1.0,0.0,0.0,-0.976207691305182,0.998931884765625,3.459113218085008e-08,13.0,-0.3307488039556414,0.9902759522665292,0.000254357663034388,141.0,-0.5283454923105138,0.9999826017811012,2.3719527453280875e-09,421.0,-0.35505248876168277,0.9999952995873032,7.847232641466917e-09,2265.0,-0.31924546181908636,0.9999999884331627,0.0,9823.0,-0.3166203897932135,0.9999999999999991,3.909095269705176e-13,39034.0,-0.3253836740021761,1.0,0.0,152149.0
4023,4103,0.28062070763784297,0.23046875,0.17721345429915702,24.0,-0.4447461751839112,0.9477081298828125,0.0004070412697521064,37.0,-0.039731262781024616,0.5257282466627657,0.03110717698615706,261.0,-0.04327796862790591,0.5479069862768762,0.0234398926936058,1022.0,0.01234076277250453,0.31801676452102057,0.06603669307645021,4327.0,0.022868762905337157,0.22774815906828827,0.10028608251854643,17333.0,-0.007612022443488951,0.41978940394952396,0.03461880100266457,66342.0,0.01809420914853962,0.17358874843074057,0.14316171560058089,271299.0
4023,4855,-0.2683655858628146,0.37109375,0.009734908492266103,21.0,0.01820102695527708,0.247711181640625,0.05759795082124319,82.0,0.2572154654737944,0.033923895098268986,0.41229726914389075,362.0,0.27666667317334126,0.0028146525258551176,0.7069890952992152,1454.0,0.3559710055007792,2.1680511696118867e-06,0.9908850862621325,6060.0,0.4311058917418749,3.90870799045919e-13,0.9999999999973573,24944.0,0.27542574290387256,5.1674791439216356e-14,0.9999999997699957,90571.0,0.2909419203313576,4.528508122043755e-27,1.0,363791.0
4023,36362,0.01507885705434616,0.47265625,0.05412420756976177,19.0,-0.2360422941799379,0.798126220703125,0.005415187781308561,52.0,-0.2135603960340691,0.8000206481665373,0.0023483609525113414,219.0,-0.17862685368573653,0.8338990284688221,0.0011115022114507322,895.0,-0.2425916987443996,0.972817897170523,6.072239532861623e-06,3319.0,-0.2511004172845013,0.9982604208788568,7.308717742127158e-09,12983.0,-0.3239756163139114,0.9999999920833758,1.1446399383885364e-13,46733.0,-0.28318692248997546,0.9999999999994899,0.0,194927.0
