brain_region,gene_id,sample_count,sum_expression,effect_size_8,p-value_8,power_8,t_stat_8,effect_size_16,p-value_16,power_16,t_stat_16,effect_size_32,p-value_32,power_32,t_stat_32,effect_size_64,p-value_64,power_64,t_stat_64,effect_size_128,p-value_128,power_128,t_stat_128,effect_size_256,p-value_256,power_256,t_stat_256
4023,352,344,1971.862070496268,0.12575398724881798,0.6796875,0.09305360684820152,15.0,0.09542499704407974,0.752288818359375,0.100256320455276,55.0,0.08461903540664066,0.8298505006823689,0.11968678966706126,213.0,0.0888934210523187,0.9015941269833276,0.1732688999401285,847.0,0.08300571450697772,0.9449914971707271,0.23861947792732563,3456.0,0.09349750767526711,0.975084845305946,0.43925315698922174,14122.0
4023,22647,301,1357.0734712498038,0.04124830969725104,0.52734375,0.06191227387034526,18.0,-0.020676903698647685,0.6090240478515625,0.042360992003534714,63.0,-0.04515149559573605,0.6542108685243875,0.029061618694622315,243.0,0.03853915972907631,0.5213334879569232,0.09014899485518968,1032.0,0.006662457944815307,0.72233404044037,0.05822186091879733,3880.0,0.00033109829693988294,0.912578337323555,0.050547293283316086,14839.0
4270,2881,493,3360.0803382773997,-0.32209895884553497,0.76953125,0.006655125610006696,13.0,-0.020510038358358216,0.4899749755859375,0.04241863137613411,69.0,0.17000300902283813,0.16546238190494478,0.24068229414324105,317.0,0.0753187127402889,0.26043644495264406,0.1471449699222197,1136.0,-0.039412453148976914,0.5939877027103758,0.0183814234178884,4028.0,0.10461340510119119,0.03583577788995516,0.5097805171315043,18584.0
4023,58828,258,1151.485177810389,0.05535363062199964,0.2734375,0.06645656009182588,23.0,-0.08487841028119111,0.4301300048828125,0.02444804255589683,72.0,0.018230870550883228,0.31236508255824447,0.06129988932553987,291.0,-0.06637595783910537,0.5293208469266575,0.014995762156598258,1029.0,-0.04085680330125249,0.6259138806488843,0.01766122660606506,3993.0,-0.06519217598823676,0.7983293088944385,0.003624665402468308,15457.0
4048,1800,400,1436.6274477475197,1.0741206982310074,0.02734375,0.8605354126536164,32.0,0.5779572674764274,0.02532958984375,0.7125365387203688,106.0,0.574356378539017,0.0025127967819571495,0.9372439384407474,411.0,0.40349758797951013,0.002385314171100785,0.9392084290980988,1462.0,0.21659830133345598,0.015046117616117861,0.7859913148646219,5040.0,0.23645310003604864,0.0003041885084778102,0.9833452318984293,20513.0
4149,5701,363,1309.8558086717862,0.20364552060371238,0.37109375,0.1307678462748143,21.0,0.3288007826793309,0.1261138916015625,0.3486383614959123,91.0,0.27515293792800877,0.1309226017910987,0.4512837190335459,325.0,0.18249088597265717,0.08944312126158915,0.4204978170894538,1241.0,0.11452885393999537,0.09747029407360475,0.3609163238706957,4673.0,0.0855958537005928,0.0565417894120216,0.3901402559627438,18327.0
4288,34171,288,1709.0883566449088,-0.04763091743557453,0.62890625,0.03858889358473416,16.0,-0.05298333012568297,0.6282196044921875,0.03233860707156766,62.0,-0.00254084895880311,0.518383391899988,0.0485663016125798,262.0,-0.08819098868350392,0.7750818691676294,0.009568066198648473,927.0,-0.07504719203241807,0.8007332411375926,0.006397707317680079,3773.0,-0.032615769290323685,0.6446936930618018,0.01518143270732153,16008.0
4121,2880,396,2282.2581512714187,-0.2841841263915754,0.76953125,0.008719964500891741,13.0,0.13527897211906348,0.3160858154296875,0.1296979640576551,78.0,0.06910123095262209,0.26803122577257454,0.10339772481520004,298.0,0.03894781782357243,0.2894258222620595,0.09067599257370074,1123.0,0.04910006922688117,0.2212012927970607,0.1373496510975445,4451.0,0.008605168793544631,0.34686382907097413,0.06583669612018028,16915.0
4074,2538,588,2780.764480718637,-0.6704548932468206,0.92578125,0.00036247146171575206,8.0,0.07966364846353655,0.5895538330078125,0.09007002820126075,64.0,0.06573790531979665,0.6610002832021564,0.10009005887489097,242.0,0.05096776042682071,0.6384949468948422,0.1072152262016095,987.0,0.055082549526937405,0.6656989855525614,0.15268609758542706,3948.0,0.027375434063645926,0.8395267577479513,0.11352216900289769,15271.0
4023,7215,258,717.286837315673,-0.21983417275007275,0.84375,0.013516095318909072,11.0,-0.3127794429809132,0.953277587890625,0.0022409866834833814,36.0,-0.19121441328393451,0.967508148169145,0.0034317440999089843,166.0,-0.13843422303105385,0.988911564415541,0.0030667793590871684,698.0,0.03529161025534609,0.9848643141493441,0.10607089783143797,3217.0,0.00383483963254977,0.9990482200433812,0.056635698031586745,12766.0
