brain_region,gene_id,effect_size,p-value,power,t_stat
4187,1259,-0.34592716061105516,0.473,0.0001852894844543984,-2.6185446296684622
4187,2541,0.4140329658016996,0.52,0.7407505157351554,2.268092902893313
4193,1259,-0.5064017039956273,0.453,4.3084843166507625e-06,-3.6899168403853406
4193,2538,0.05280693453717049,0.514,0.08809194529031306,0.3151177387447963
4193,2541,0.3197210031697959,0.515,0.5493786907486735,1.6875801758925153
4193,3338,-0.27580719490843475,0.464,0.0007573953122023136,-2.273195317677283
4194,1259,-0.4135486852652116,0.469,4.1637140654304794e-05,-2.7840435636859793
4194,2538,0.04921715722565291,0.51,0.08495938913524026,0.29912922397950054
4194,2541,0.3783939683238989,0.504,0.6731330061354733,1.8907160899393722
4194,3338,-0.8035436074657093,0.443,0.0,-7.153992056408138
4200,1259,-0.18296582129145875,0.477,0.0039335181807534925,-1.3321534329472657
4200,2541,0.2339997267765944,0.504,0.36314580351571535,1.2591580419392114
4201,1259,0.006455269995414068,0.5,0.053794426608417045,0.0520658790765903
4201,2541,0.12067799267583333,0.499,0.16427898213952286,0.6527935845709023
4214,1259,-0.0055532113659009395,0.479,0.04690932969600503,-0.04397928461989842
4214,2541,0.30739623957743745,0.515,0.5222990901743347,1.7610280174030313
4223,1259,0.3661042823314154,0.49,0.648256132710888,2.868509689970908
4223,2538,0.015051147502375368,0.52,0.05919689901792902,0.091994205058141
4223,2541,0.2441951280293558,0.508,0.3845074464588837,1.3498150809338596
4223,3338,0.040900880622312105,0.522,0.07802408326808907,0.3315560945109272
4223,36362,-0.3840358179340755,0.505,8.120410987488835e-05,-3.613332422304935
4224,1259,0.14448356460020648,0.482,0.19897063905304613,1.0699986046715866
4224,2538,0.008734234804697063,0.509,0.05518721013470984,0.05493329754430917
4224,2541,0.053842690365966214,0.503,0.0890115878387947,0.29502817455599667
4224,3335,0.18429460932321845,0.48,0.2659723193025161,1.19548113307665
4224,3338,0.15745615678630967,0.528,0.2196050260563236,1.271601504847356
4224,4103,0.0949470711601839,0.507,0.13148425123621843,0.5176208154817276
4224,36362,-0.6015554101432838,0.482,3.22940748587186e-07,-6.080918874871694
4230,1259,-0.19347995367606283,0.489,0.0033043881415700804,-1.2066999910909517
4230,2541,-0.0545917522113368,0.501,0.02576603126714716,-0.27478700465212685
4244,1259,-0.1994600619782501,0.476,0.002988383803559591,-1.3646666724925678
4244,2538,0.06000269021221195,0.517,0.09462904609179179,0.36408340183513144
4244,2541,0.09107699165190497,0.503,0.1269728636993167,0.4781832590826776
