brain_region,gene_id,effect_size,p-value,power,t_stat
4012,2541,0.19102609744575064,0.526,0.6931590406984118,2.2303384106602717
4013,1259,0.018034489635026286,0.493,0.07466513657868856,0.23651550474552935
4013,2541,0.264620675501753,0.515,0.9087307688027929,3.2296271711191795
4014,1259,-0.0978769216528602,0.494,0.003013252705482805,-1.3032176621945206
4014,2541,0.12083400187388285,0.515,0.38780019313223946,1.3206385778478715
4023,1259,-0.003795577784292737,0.498,0.04574713394704333,-0.049987500952860565
4023,2538,0.0644261676715248,0.498,0.1788299719453712,0.7881364040951757
4023,2539,-0.10269792396027738,0.523,0.002550457576456777,-1.169989401610991
4023,2541,0.2080701930758703,0.521,0.7569803930689997,2.5401189303680756
4023,2881,-0.029386109370673284,0.552,0.02410262723264911,-0.31420747811803645
4023,3335,0.23894195767093326,0.501,0.8517620694351783,3.005518318699584
4023,3336,0.5064199466911121,0.502,0.9999999949632791,6.57797217813257
4023,3338,-0.24008252176221137,0.472,6.908267745187047e-06,-4.016960359688742
4023,4103,0.012495959972672001,0.525,0.06626117080851168,0.13961979266323926
4023,4855,0.29376477118758393,0.509,0.9516364289757784,4.027352190326316
4023,36362,-0.15224475644221128,0.504,0.0003922734367954872,-2.744611763867664
4024,1259,0.018365901280314834,0.493,0.07519269238467041,0.2672939337332686
4024,2538,0.02749994485193569,0.513,0.09087579707452698,0.33271212108632886
4024,2539,-0.14511330313870477,0.524,0.0005228526704844638,-1.5945031418497706
4024,2541,0.2893994476527251,0.514,0.9464983551948325,3.745742413915774
4024,2881,-0.1381019449473239,0.543,0.0006894630970359916,-1.4785164098644394
4024,3335,0.1931653930581222,0.517,0.7015620140790785,2.493628251051288
4024,3338,-0.3200654521535229,0.48,7.685062475282223e-08,-5.235447364298027
4024,4103,0.004577406755271328,0.528,0.05554181902218158,0.05254710499905746
4024,4855,0.2682316292096407,0.493,0.9152190843085855,3.6737111908368836
4024,36362,-0.11454215736650358,0.514,0.0016737415805799793,-1.980672846066751
4030,1259,-0.0363157138216075,0.486,0.020010204219337968,-0.5001242502208819
4030,2538,0.04401750882817656,0.486,0.12517475175825377,0.5278976914097929
4030,2541,0.22412687944008405,0.526,0.8098402234287739,2.8602138007369993
4030,3338,-0.19114086566979582,0.471,7.354509657453434e-05,-3.174623017535698
4030,36362,-0.07620738206491062,0.503,0.006166507144130473,-1.369007140203987
4031,1259,0.08110414314198086,0.5,0.23203868738423417,1.1309946543310279
4031,2538,0.05476624753314937,0.507,0.15184784936109796,0.6495137224050505
4031,2541,0.29054064448594297,0.532,0.9478815918724005,3.7524920263566925
4031,3338,-0.29696721429798784,0.466,3.062461573222208e-07,-5.062222238976554
4039,1259,-0.0560441036173839,0.47,0.01143628807961572,-0.7564402738608423
4039,2541,0.19404464319760711,0.518,0.7049850058259436,2.4538380134105964
4045,1259,0.26624029722981146,0.523,0.9116851155270517,3.4526495389425027
4045,2541,0.5297062327365241,0.524,0.9999999989696076,6.330696703391448
4048,1259,0.3033722600747826,0.502,0.961556590561189,3.6685312167135455
4048,2541,0.4117459010587067,0.52,0.9985983398663995,4.871228173094322
4051,1259,0.24964527229617836,0.515,0.8778819443293041,3.1189684265920716
4051,2538,0.02129507307426979,0.502,0.07997972023979993,0.25333101757802656
4051,2541,0.3638094935367071,0.525,0.9928396918459157,4.295981137874628
4060,1259,0.31878673996662,0.504,0.97396150217092,3.8676592213760888
4060,2541,0.4943917596238789,0.512,0.999999988866998,6.072748785430934
4074,1259,0.1598313790515007,0.514,0.5611114893355104,2.249575359687862
4074,2541,0.3406562258425609,0.527,0.9856865159306194,4.596197992923176
4079,1259,0.1665701811549308,0.476,0.5908066280165115,2.1797188255089033
4079,2541,0.2134971469143151,0.518,0.7756822103626487,2.5373763751095906
4087,1259,0.03703617591936436,0.501,0.10971124613601724,0.49900296414587314
4087,2541,0.30066500896713383,0.525,0.9589455257526119,3.654905341213135
4088,1259,0.05900877732991744,0.491,0.16334634093841505,0.7941524455310814
4088,2538,0.05918740207371869,0.487,0.16384256381034712,0.7005264625430982
4088,2541,0.3548200897708647,0.542,0.9905618765939956,4.794896353445108
4098,1259,0.07390628325738324,0.492,0.20806613476815128,1.043917503650283
4098,2541,0.3902475202524707,0.507,0.9969892893196127,4.723815080651537
4099,1259,0.11988585575896757,0.503,0.3837193471127923,1.6887955175200187
4099,2538,0.1017966840076565,0.503,0.30878778769795123,1.2545043478762778
4099,2541,0.4841312956068455,0.526,0.9999999784092483,6.013871596004597
